,code,category,descrp,cp02_count,cn01_count,cp02_prop,cn01_prop
0,C_01462_-1,CPT,"ANESTHESIA FOR ALL CLOSED PROCEDURES ON LOWER LEG, ANKLE, AND FOOT",1,1,0.0003832886163280951,0.0001763668430335097
1,C_11402_-1,CPT,"EXCISION, BENIGN LESION INCLUDING MARGINS, EXCEPT SKIN TAG (UNLESS LISTED ELSEWHERE), TRUNK, ARMS OR LEGS; EXCISED DIAMETER 1.1 TO 2.0 CM",23,37,0.008815638175546186,0.006525573192239859
2,C_27370_-1,CPT,INJECTION OF CONTRAST FOR KNEE ARTHROGRAPHY,5,3,0.0019164430816404753,0.0005291005291005291
3,C_27590_-1,CPT,"AMPUTATION, THIGH, THROUGH FEMUR, ANY LEVEL;",2,5,0.0007665772326561902,0.0008818342151675485
4,C_29879_-1,CPT,"ARTHROSCOPY, KNEE, SURGICAL; ABRASION ARTHROPLASTY (INCLUDES CHONDROPLASTY WHERE NECESSARY) OR MULTIPLE DRILLING OR MICROFRACTURE",3,6,0.0011498658489842851,0.0010582010582010583
5,C_34834_-1,CPT,"OPEN BRACHIAL ARTERY EXPOSURE TO ASSIST IN THE DEPLOYMENT OF AORTIC OR ILIAC ENDOVASCULAR PROSTHESIS BY ARM INCISION, UNILATERAL",1,1,0.0003832886163280951,0.0001763668430335097
6,C_36581_-1,CPT,"REPLACEMENT, COMPLETE, OF A TUNNELED CENTRALLY INSERTED CENTRAL VENOUS CATHETER, WITHOUT SUBCUTANEOUS PORT OR PUMP, THROUGH SAME VENOUS ACCESS",7,1,0.0026830203142966655,0.0001763668430335097
7,C_43238_-1,CPT,"ESOPHAGOGASTRODUODENOSCOPY, FLEXIBLE, TRANSORAL; WITH TRANSENDOSCOPIC ULTRASOUND-GUIDED INTRAMURAL OR TRANSMURAL FINE NEEDLE ASPIRATION/BIOPSY(S), (INCLUDES ENDOSCOPIC ULTRASOUND EXAMINATION LIMITED TO THE ESOPHAGUS, STOMACH OR DUODENUM, AND ADJACENT STRUCTURES)",1,4,0.0003832886163280951,0.0007054673721340388
8,C_49002_-1,CPT,REOPENING OF RECENT LAPAROTOMY,1,1,0.0003832886163280951,0.0001763668430335097
9,C_61783_-1,CPT,STEREOTACTIC COMPUTER-ASSISTED (NAVIGATIONAL) PROCEDURE; SPINAL (LIST SEPARATELY IN ADDITION TO CODE FOR PRIMARY PROCEDURE),2,1,0.0007665772326561902,0.0001763668430335097
10,C_71275_-1,CPT,"COMPUTED TOMOGRAPHIC ANGIOGRAPHY, CHEST (NONCORONARY), WITH CONTRAST MATERIAL(S), INCLUDING NONCONTRAST IMAGES, IF PERFORMED, AND IMAGE POSTPROCESSING",123,177,0.047144499808355694,0.031216931216931216
11,C_74250_-1,CPT,"RADIOLOGIC EXAMINATION, SMALL INTESTINE, INCLUDES MULTIPLE SERIAL IMAGES;",9,9,0.0034495975469528554,0.0015873015873015873
12,C_86710_-1,CPT,ANTIBODY; INFLUENZA VIRUS,5,3,0.0019164430816404753,0.0005291005291005291
